CO_IES,Grupo
284,AFYA
450,AFYA
472,AFYA
1414,AFYA
1519,AFYA
1563,AFYA
1599,AFYA
1669,AFYA
2082,AFYA
2275,AFYA
2571,AFYA
2918,AFYA
3575,AFYA
3588,AFYA
4256,AFYA
4530,AFYA
4849,AFYA
5544,AFYA
5580,AFYA
13040,AFYA
13809,AFYA
16728,AFYA
17109,AFYA
17433,AFYA
17498,AFYA
17565,AFYA
22088,AFYA
22104,AFYA
22514,AFYA
24547,AFYA
24548,AFYA
24550,AFYA
24551,AFYA
25261,AFYA
25307,AFYA
26261,AFYA
203,ANIM
344,ANIM
349,ANIM
385,ANIM
448,ANIM
466,ANIM
494,ANIM
502,ANIM
638,ANIM
712,ANIM
718,ANIM
1201,ANIM
1351,ANIM
1419,ANIM
1598,ANIM
1618,ANIM
1640,ANIM
1664,ANIM
1805,ANIM
2023,ANIM
2950,ANIM
3099,ANIM
3319,ANIM
3437,ANIM
3518,ANIM
3691,ANIM
3758,ANIM
4045,ANIM
4766,ANIM
14028,ANIM
15452,ANIM
18296,ANIM
18454,ANIM
18708,ANIM
18735,ANIM
19257,ANIM
19408,ANIM
19865,ANIM
21931,ANIM
22093,ANIM
22736,ANIM
22758,ANIM
22759,ANIM
23095,ANIM
23163,ANIM
23164,ANIM
23168,ANIM
23169,ANIM
23172,ANIM
23175,ANIM
23176,ANIM
23177,ANIM
23178,ANIM
23179,ANIM
23180,ANIM
23201,ANIM
23202,ANIM
23203,ANIM
23228,ANIM
23235,ANIM
23236,ANIM
23241,ANIM
23242,ANIM
23244,ANIM
23245,ANIM
23252,ANIM
23261,ANIM
23264,ANIM
23273,ANIM
23275,ANIM
23278,ANIM
23358,ANIM
24443,ANIM
27057,ANIM
242,COGN
298,COGN
376,COGN
457,COGN
515,COGN
671,COGN
736,COGN
780,COGN
781,COGN
891,COGN
926,COGN
1045,COGN
1173,COGN
1233,COGN
1258,COGN
1305,COGN
1345,COGN
1412,COGN
1452,COGN
1456,COGN
1478,COGN
1492,COGN
1499,COGN
1502,COGN
1513,COGN
1587,COGN
1632,COGN
1710,COGN
1731,COGN
1767,COGN
1774,COGN
1776,COGN
1818,COGN
1830,COGN
1847,COGN
1883,COGN
1945,COGN
2005,COGN
2191,COGN
2194,COGN
2264,COGN
2271,COGN
2324,COGN
2355,COGN
2437,COGN
2511,COGN
2576,COGN
2756,COGN
2773,COGN
2794,COGN
2944,COGN
2973,COGN
3034,COGN
3149,COGN
3603,COGN
3612,COGN
3741,COGN
3937,COGN
4013,COGN
4037,COGN
4138,COGN
4141,COGN
4251,COGN
4362,COGN
4452,COGN
4495,COGN
4616,COGN
4652,COGN
4655,COGN
4656,COGN
4826,COGN
4863,COGN
4865,COGN
4867,COGN
4878,COGN
4959,COGN
5288,COGN
5290,COGN
5303,COGN
5451,COGN
5550,COGN
5555,COGN
5668,COGN
11308,COGN
12791,COGN
13133,COGN
13620,COGN
13684,COGN
13743,COGN
14429,COGN
15839,COGN
17666,COGN
17667,COGN
18625,COGN
18628,COGN
18639,COGN
18659,COGN
19260,COGN
19298,COGN
19323,COGN
19780,COGN
19781,COGN
19783,COGN
19785,COGN
19786,COGN
19788,COGN
20587,COGN
20588,COGN
21238,COGN
21239,COGN
21280,COGN
21552,COGN
21553,COGN
21554,COGN
21687,COGN
21693,COGN
21900,COGN
21903,COGN
22059,COGN
22123,COGN
22124,COGN
22125,COGN
22144,COGN
22145,COGN
22147,COGN
22154,COGN
22158,COGN
22161,COGN
22232,COGN
22236,COGN
22237,COGN
22702,COGN
22703,COGN
22707,COGN
22710,COGN
22712,COGN
22715,COGN
22716,COGN
23099,COGN
23100,COGN
23102,COGN
23893,COGN
23894,COGN
23895,COGN
23896,COGN
23897,COGN
23899,COGN
23923,COGN
23924,COGN
24171,COGN
24464,COGN
24899,COGN
24909,COGN
24968,COGN
28833,COGN
221,CSED
352,CSED
417,CSED
496,CSED
518,CSED
526,CSED
1042,CSED
1149,CSED
1187,CSED
1427,CSED
1535,CSED
2513,CSED
3443,CSED
12523,CSED
383,SEER
481,SEER
610,SEER
757,SEER
1055,SEER
1205,SEER
1227,SEER
1318,SEER
1422,SEER
1504,SEER
1552,SEER
1556,SEER
1683,SEER
1910,SEER
1917,SEER
2593,SEER
2835,SEER
2885,SEER
3817,SEER
3853,SEER
3879,SEER
4118,SEER
4121,SEER
4153,SEER
4197,SEER
4255,SEER
4742,SEER
11645,SEER
12758,SEER
13982,SEER
14321,SEER
14717,SEER
17284,SEER
18023,SEER
18075,SEER
18211,SEER
18643,SEER
18648,SEER
18649,SEER
18650,SEER
18651,SEER
18653,SEER
18671,SEER
18672,SEER
18676,SEER
19334,SEER
19844,SEER
21364,SEER
21366,SEER
21398,SEER
22210,SEER
24382,SEER
1196,VTRU
1312,VTRU
1472,VTRU
1777,VTRU
2175,VTRU
2755,VTRU
3648,VTRU
4157,VTRU
12946,VTRU
14403,VTRU
16914,VTRU
17420,VTRU
17632,VTRU
18153,VTRU
19404,VTRU
19406,VTRU
21878,VTRU
21926,VTRU
21955,VTRU
21956,VTRU
21957,VTRU
22095,VTRU
22097,VTRU
24488,VTRU
25763,VTRU
25788,VTRU
26201,VTRU
163,YDUQ
343,YDUQ
396,YDUQ
793,YDUQ
862,YDUQ
916,YDUQ
1030,YDUQ
1058,YDUQ
1077,YDUQ
1107,YDUQ
1175,YDUQ
1255,YDUQ
1270,YDUQ
1298,YDUQ
1381,YDUQ
1403,YDUQ
1418,YDUQ
1423,YDUQ
1484,YDUQ
1486,YDUQ
1496,YDUQ
1509,YDUQ
1510,YDUQ
1521,YDUQ
1547,YDUQ
1590,YDUQ
1591,YDUQ
1659,YDUQ
1660,YDUQ
1702,YDUQ
1717,YDUQ
1734,YDUQ
1772,YDUQ
1775,YDUQ
1817,YDUQ
1986,YDUQ
2036,YDUQ
2122,YDUQ
2279,YDUQ
2380,YDUQ
2460,YDUQ
2465,YDUQ
2501,YDUQ
2613,YDUQ
2754,YDUQ
2961,YDUQ
3170,YDUQ
3779,YDUQ
4009,YDUQ
4094,YDUQ
4169,YDUQ
4277,YDUQ
4411,YDUQ
4566,YDUQ
4915,YDUQ
13783,YDUQ
20105,YDUQ
20110,YDUQ
21268,YDUQ
22076,YDUQ
22191,YDUQ
22202,YDUQ
22606,YDUQ
23097,YDUQ
23333,YDUQ
24446,YDUQ
24509,YDUQ
24676,YDUQ
24687,YDUQ
